white_elo,black_elo,result,time_control,opening_moves
1663,1635,black,0+1,b3 e6 Bb2 Qe7 g4 g6 Bxh8 f6 g5 b6
1657,1644,black,180+0,e4 e5 Bc4 Bc5 Bxf7+ Kxf7 f4 g6 Nf3 exf4
1178,1500,black,120+0,d4 d5 e3 Nc6 Bb5 Nf6 Bxc6+ bxc6 f3 Bf5
1572,1656,black,300+0,e4 c5 Nf3 d6 Nc3 Nc6 Bb5 Bd7 Bxc6 bxc6
1269,1459,white,300+5,e4 e5 Nf3 Nc6 Bb5 Nge7 d4 a6 Ba4 b5
1543,1342,white,480+0,d4 d5 c4 Be6 Nf3 dxc4 Nc3 Nc6 e3 Bd5
1519,1548,white,480+8,e4 c6 Nf3 d5 exd5 cxd5 d4 a6 Nc3 Bg4
1349,1396,white,300+5,d4 d5 c4 dxc4 e4 e6 Bxc4 Bb4+ Bd2 Bxd2+
1697,1926,white,180+0,d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 g6
1538,1623,white,240+0,d4 e6 e4 c6 Nc3 d5 Nf3 Ne7 Bg5 Qd7
1392,1455,black,120+0,e4 e5 Nf3 Nc6 Nc3 d6 a3 Be6 b4 Nf6
1879,1680,black,60+0,d4 b6 c4 Bb7 Nc3 c5 e4 e6 d5 exd5
1659,2044,black,120+0,e4 e5 Bc4 Nc6 Nf3 Nf6 Ng5 d5 exd5 Na5
2115,1575,white,0+1,e4 b6 Nc3 Bb7 f4 e6 Nf3 Ne7 d4 Ng6
1648,1651,black,0+1,e3 g6 Qe2 Bg7 g3 b6 Bg2 Ba6 d3 c6
1634,1707,draw,1200+5,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 d4 e6
1662,1636,black,0+1,e4 e6 f4 Qe7 d4 g6 c3 Bh6 Be3 b6
1574,1468,white,0+1,b3 g6 Bb2 f6 c4 Bg7 d3 Kf7 Nd2 f5
1357,1397,black,420+0,e4 e6 Nc3 d5 exd5 exd5 d4 g6 Nf3 Bg7
