white_elo,black_elo,result,time_control,opening_moves,num_opening_moves,post_opening_acpl
1708,1690,white,600+0,e4 c6 b3 d5 exd5,5,
1661,1614,black,300+0,e4 c5 Nf3 Nc6 c3 a6 d4 cxd4 cxd4 d6,10,
1968,1893,white,300+0,d4 e6 c4 d5 Nc3 Nf6 cxd5 exd5 Bg5 Bb4,10,
1204,1461,black,300+0,e4 e5 c3 Nc6 Nf3 d6 d4 exd4 cxd4 Bg4,10,
1859,1772,white,600+0,e4 e5 f4 d5 Nc3 exf4 Nf3 dxe4 Nxe4 Nf6,10,
1882,1868,white,300+0,e4 c6 Nf3 d5 exd5 cxd5 d4 Nc6 Nc3 e6,10,
1867,1905,white,600+0,Nf3 c5 g3 d5 c4 dxc4 Nc3 b6 Bg2 Bb7,10,
1729,1703,white,300+0,b4 Nf6 Bb2 g6 e3 Bg7 Bc4 O-O d3 d5,10,
1926,1962,black,600+0,Nf3 d6 d4 Nf6 c4 g6 Nc3 Bg7 Bf4 O-O,10,
1570,1605,white,300+0,e4 c5 Bc4 Nc6 Nf3 e6 O-O Nf6 d3 Be7,10,
1740,1765,black,600+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Nc6 Be2 Nf6,10,
2064,2024,white,300+0,e4 e5 Nf3 Nc6 Bc4 Bc5 b4 Bxb4 c3 Be7,10,
1716,1739,black,600+0,e4 c6 f4 d5 e5 Bf5 d4 e6 Nf3 c5,10,
1776,1658,white,60+0,d4 d5 Bg5 h6 Bh4 f5 Bg3 g5 Nf3 f4,10,
1582,1580,black,180+0,e4 e5 Bc4 Nf6 Qf3 Be7 Nc3 d6 h3 Nbd7,10,
1865,1836,white,300+0,e3 e5 b3 d5 Bb2 Nc6 Bb5 Bd6 f4 Qe7,10,
1977,1930,black,180+0,e4 e5 d4 exd4 c3 dxc3 Bc4 Nc6 Nf3 Bc5,10,
1479,1614,black,180+0,e4 e5 Nf3 Qe7 d4 c6 dxe5 Nh6 Nc3 Na6,10,
2116,2166,black,300+0,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3+,10,
1802,1767,white,300+0,e4 e5 d4 exd4 Nf3 Nc6 Bc4 Nf6 c3 dxc3,10,
1790,1779,white,180+0,c4 e5 e3 d5 cxd5 c6 dxc6 Nxc6 Bb5 e4,10,
1775,1768,draw,180+0,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 exd4,10,
1996,2074,black,180+0,c3 e6 d4 d5 Nf3 Nf6 Bg5 Be7 Nbd2 O-O,10,
2116,2100,draw,60+0,Nf3 f5 g3 Nf6 Bg2 g6 O-O Bg7 b3 O-O,10,
1904,1891,white,180+0,e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6,10,
1638,1636,black,180+0,d4 d5 e3 Nf6 Nf3 Bf5 g3 e6 Bg2 Bd6,10,
1729,1718,black,60+0,e4 d5 Nc3 dxe4 Nxe4 e5 Nf3 Nf6 Nxf6+ Qxf6,10,
1508,1441,black,60+0,d4 d5 Nf3 c6 e3 Nf6 g3 Nbd7 Bg2 e6,10,
1680,1769,black,180+0,d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O e5 Ne8,10,
1672,1715,white,60+0,g3 c6 Bg2 d5 f3 Bf5 d3 e5 Be3 Nf6,10,
2175,2196,black,60+0,Nf3 d6 c4 g6 g3 Bg7 Bg2 Nf6 O-O O-O,10,
1895,1860,black,60+0,d4 e6 c4 Be7 Nc3 d6 e4 Bd7 f4 Nf6,10,
2045,2049,black,60+0,Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 b6,10,
1982,1983,draw,180+0,d4 e6 c4 f5 a3 Nf6 Nc3 Be7 e3 b6,10,
2019,1977,white,60+0,e3 Nf6 d4 e6 c4 d5 Nf3 dxc4 Bxc4 Nbd7,10,
1818,1852,black,60+0,e4 d5 Nf3 dxe4 Ng5 Nf6 d3 Bf5 h3 exd3,10,
2108,2084,black,60+0,e4 Nf6 Nf3 Nxe4 d4 Nf6 c4 d5 Nc3 dxc4,10,
1621,1561,black,60+0,b3 Nc6 a3 e6 Bb2 Bd6 e3 f5 Nf3 Nf6,10,
1405,1460,black,420+3,e4 e5 Qh5 Qe7 Nf3 d6 c4 Nf6 Qf5 Bxf5,10,
2018,2028,white,60+0,e4 c6 d4 d5 exd5 cxd5 f4 e6 Nf3 Nf6,10,
1702,1765,black,600+0,e4 e5 Nf3 d6 d4 exd4 Qxd4 a6 Bc4 Nc6,10,
1904,1963,white,60+0,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 Nf3 g6,10,
1691,1711,black,300+3,d4 Nf6 e3 g6 c4 Bg7 Nf3 d6 h3 O-O,10,
1400,1208,white,300+0,e4 e5 Qg4 Nf6 Qf3 Nc6 c3 Bc5 b4 Bb6,10,
1943,1689,white,30+0,g3 f5 Bg2 e5 d4 exd4 Qxd4 Nf6 Qd1 Nc6,10,
1850,1825,black,180+0,e4 c5 Qf3 Nc6 c3 g6 Bb5 Bg7 Bxc6 bxc6,10,
1831,1868,black,30+0,e4 g6 d4 Bg7 e5 f5 f4 d6 g4 dxe5,10,
1803,1997,black,60+0,e3 Nf6 b3 g6 Bb2 Bg7 Nc3 O-O Be2 c5,10,
1782,1875,white,60+0,d4 e6 c4 d5 Nc3 Nf6 cxd5 exd5 Bg5 Be7,10,
1951,2099,black,30+0,b3 d5 Bb2 c6 g3 Nf6 Bg2 e6 f3 Bd6,10,
1727,1855,black,600+0,e4 c5 Bc4 Nc6 Qf3 e6 c3 Ne5 Qe2 Nxc4,10,
1687,1806,black,60+1,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e6,10,
1716,1599,white,300+0,Nf3 d5 e3 Nc6 d4 Bg4 c4 Bxf3 Qxf3 dxc4,10,
1714,1665,white,600+0,Nf3 Nc6 Nc3 e5 e4 Bc5 Bb5 Nd4 Nxe5 Nxb5,10,
2080,2004,white,180+0,e4 c5 b4 cxb4 a3 bxa3 Nxa3 d6 Nf3 g6,10,
1512,1617,black,600+0,e4 e6 d4 d5 c4 dxe4 Nc3 f5 g4 Nc6,10,
2547,2299,white,60+0,e4 e5 Nf3 Nc6 Bc4 Nd4 c3 Nxf3+ Qxf3 Qf6,10,2088.37
