white_elo,black_elo,result,time_control,opening_moves,eco_code,opening_name,avg_elo,rating_group
1663,1635,black,0+1,b3 e6 Bb2 Qe7 g4 g6 Bxh8 f6 g5 b6,A01,Nimzo-Larsen Attack,1649,advanced
1657,1644,black,180+0,e4 e5 Bc4 Bc5 Bxf7+ Kxf7 f4 g6 Nf3 exf4,C23,Bishop's Opening: Boi Variation,1650,advanced
1178,1500,black,120+0,d4 d5 e3 Nc6 Bb5 Nf6 Bxc6+ bxc6 f3 Bf5,D00,Queen's Pawn Game,1339,intermediate
1572,1656,black,300+0,e4 c5 Nf3 d6 Nc3 Nc6 Bb5 Bd7 Bxc6 bxc6,B50,Sicilian Defense: Modern Variations,1614,advanced
1269,1459,white,300+5,e4 e5 Nf3 Nc6 Bb5 Nge7 d4 a6 Ba4 b5,C60,Ruy Lopez: Cozio Defense,1364,intermediate
1543,1342,white,480+0,d4 d5 c4 Be6 Nf3 dxc4 Nc3 Nc6 e3 Bd5,D06,Queen's Gambit,1442,intermediate
1519,1548,white,480+8,e4 c6 Nf3 d5 exd5 cxd5 d4 a6 Nc3 Bg4,B10,Caro-Kann Defense,1533,intermediate
1349,1396,white,300+5,d4 d5 c4 dxc4 e4 e6 Bxc4 Bb4+ Bd2 Bxd2+,D20,Queen's Gambit Accepted: Saduleto Variation,1372,intermediate
1697,1926,white,180+0,d4 Nf6 c4 c5 d5 b5 cxb5 a6 Nc3 g6,A57,Benko Gambit: Zaitsev System,1811,advanced
1538,1623,white,240+0,d4 e6 e4 c6 Nc3 d5 Nf3 Ne7 Bg5 Qd7,A40,Horwitz Defense,1580,intermediate
1392,1455,black,120+0,e4 e5 Nf3 Nc6 Nc3 d6 a3 Be6 b4 Nf6,C46,Three Knights Opening,1423,intermediate
1879,1680,black,60+0,d4 b6 c4 Bb7 Nc3 c5 e4 e6 d5 exd5,A40,English Defense,1779,advanced
1659,2044,black,120+0,e4 e5 Bc4 Nc6 Nf3 Nf6 Ng5 d5 exd5 Na5,C23,Bishop's Opening,1851,advanced
2115,1575,white,0+1,e4 b6 Nc3 Bb7 f4 e6 Nf3 Ne7 d4 Ng6,B00,Owen Defense,1845,advanced
1648,1651,black,0+1,e3 g6 Qe2 Bg7 g3 b6 Bg2 Ba6 d3 c6,A00,Van't Kruijs Opening,1649,advanced
1634,1707,draw,1200+5,e4 d5 exd5 Qxd5 Nc3 Qa5 Nf3 Nf6 d4 e6,B01,Scandinavian Defense: Main Line,1670,advanced
1662,1636,black,0+1,e4 e6 f4 Qe7 d4 g6 c3 Bh6 Be3 b6,C00,French Defense: La Bourdonnais Variation,1649,advanced
1574,1468,white,0+1,b3 g6 Bb2 f6 c4 Bg7 d3 Kf7 Nd2 f5,A01,Nimzo-Larsen Attack,1521,intermediate
1357,1397,black,420+0,e4 e6 Nc3 d5 exd5 exd5 d4 g6 Nf3 Bg7,C00,French Defense: Queen's Knight,1377,intermediate
1386,1335,white,300+5,e4 e5 Nf3 Nc6 d4 exd4 Nxd4 Bc5 Nxc6 bxc6,C45,Scotch Game: Classical Variation,1360,intermediate
1834,1237,white,300+15,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 Qe7 Bxf7+ Kd8,C57,"Italian Game: Two Knights Defense, Knight Attack",1535,intermediate
2116,1882,white,0+1,e4 d5 Nc3 dxe4 Nxe4 Bf5 Ng3 Bg6 h4 h6,B01,Scandinavian Defense,1999,expert
1820,1753,black,300+0,d4 d5 e3 c5 Nf3 e6 b3 Nf6 Bb2 Nbd7,D00,Queen's Pawn Game,1786,advanced
1663,1706,white,300+8,e4 c5 Nc3 Nc6 f4 Nf6 Bc4 e6 Nf3 d5,B23,Sicilian Defense: Grand Prix Attack,1684,advanced
1438,1495,black,360+0,e4 c5 h3 Nc6 a3 Nf6 d3 e6 Bg5 Be7,B20,Sicilian Defense,1466,intermediate
1563,1624,black,300+0,e4 e5 Nf3 Nc6 Nc3 Bc5 Bb5 a6 Bxc6 dxc6,C46,Three Knights Opening,1593,intermediate
1426,1236,white,300+0,e4 d5 exd5 Qxd5 Nc3 Qe5+ Nge2 Bf5 d4 Qe6,B01,Scandinavian Defense: Mieses-Kotroc Variation,1331,intermediate
1279,1187,black,420+0,e4 Nc6 Nf3 e5 d4 d6 d5 Nce7 Bb5+ Bd7,B00,Nimzowitsch Defense: Declined Variation,1233,novice
1458,1582,white,0+1,e3 b6 Qg4 Bb7 Qh3 e6 g4 Qf6 Bg2 Qh6,A00,Van't Kruijs Opening,1520,intermediate
1650,1649,white,0+1,g3 e6 f4 Qe7 e4 g6 b3 Bg7 c3 b6,A00,Hungarian Opening,1649,advanced
1893,1818,white,120+12,d4 c6 c4 d5 c5 e5 dxe5 Bxc5 Nf3 Be6,A40,Queen's Pawn Game,1855,advanced
1876,1683,white,60+0,f4 d5 Nf3 e6 d3 Nc6 c3 Nf6 d4 Bd6,A03,Bird Opening: Dutch Variation,1779,advanced
1398,1425,black,420+8,e4 c5 d4 cxd4 Qxd4 Nc6 Qd1 Nf6 Bd3 d5,B21,Sicilian Defense: Smith-Morra Gambit,1411,intermediate
1651,1864,white,60+0,e4 e5 Nf3 Nc6 Bb5 Bc5 O-O d6 c3 Bd7,C64,Ruy Lopez: Classical Variation,1757,advanced
1657,2047,black,120+0,e4 e5 Bc4 Nc6 Nf3 Nf6 Ng5 d5 exd5 Na5,C23,Bishop's Opening,1852,advanced
1402,1644,white,720+0,e4 e5 Nf3 d6 h3 c5 c4 Na6 Nc3 Nc7,C41,Philidor Defense,1523,intermediate
1451,1500,black,480+5,c4 c5 e3 Nc6 Nf3 g6 d4 d6 a3 Bg4,A30,English Opening: Symmetrical Variation,1475,intermediate
1646,1500,white,180+0,e4 g5 Bc4 Nf6 e5 Ne4 Bxf7+ Kxf7 f4 gxf4,B00,Borg Defense,1573,intermediate
1609,1552,white,240+0,d4 d5 c4 dxc4 Nc3 a6 e3 c6 Bxc4 b5,D20,Queen's Gambit Accepted,1580,intermediate
1480,1522,black,120+8,e4 e5 Bc4 Nf6 Nc3 Nc6 d3 Bc5 Nf3 d6,C24,Bishop's Opening: Berlin Defense,1501,intermediate
1661,1637,black,0+1,b3 e6 Bb2 Qe7 g4 b6 Bg2 c6 h4 Bb7,A01,Nimzo-Larsen Attack,1649,advanced
1628,1817,white,480+1,e4 c5 Bc4 d6 d4 cxd4 Qxd4 Nc6 Bb5 Nf6,B20,Sicilian Defense: Bowdler Attack,1722,advanced
1636,1567,white,120+0,d4 d5 g3 Nf6 Bg2 e6 Nf3 Be7 O-O O-O,D00,Queen's Pawn Game,1601,advanced
1846,1668,black,60+0,d4 e6 c4 d5 Nc3 Nf6 Nf3 Be7 Bg5 O-O,A40,Horwitz Defense,1757,advanced
1570,2121,black,0+1,d4 Nf6 Nf3 e6 e3 d5 Bd3 c6 c3 Nbd7,A46,Yusupov-Rubinstein System,1845,advanced
