white_elo,black_elo,result,time_control,opening_moves,num_opening_moves,post_opening_acpl,eco_code,opening_name,eco_line_length,avg_elo,rating_group
1708,1690,white,600+0,e4 c6 b3 d5 exd5,5,,B10,Caro-Kann Defense: Euwe Attack,3,1699,advanced
1661,1614,black,300+0,e4 c5 Nf3 Nc6 c3 a6 d4 cxd4 cxd4 d6,10,,B30,Sicilian Defense: Old Sicilian,4,1637,advanced
1968,1893,white,300+0,d4 e6 c4 d5 Nc3 Nf6 cxd5 exd5 Bg5 Bb4,10,,A40,Horwitz Defense,2,1930,expert
1204,1461,black,300+0,e4 e5 c3 Nc6 Nf3 d6 d4 exd4 cxd4 Bg4,10,,C20,King's Pawn Game: MacLeod Attack,3,1332,intermediate
1859,1772,white,600+0,e4 e5 f4 d5 Nc3 exf4 Nf3 dxe4 Nxe4 Nf6,10,,C31,"King's Gambit Declined: Falkbeer Countergambit, Milner-Barry Variation",5,1815,advanced
1882,1868,white,300+0,e4 c6 Nf3 d5 exd5 cxd5 d4 Nc6 Nc3 e6,10,,B10,Caro-Kann Defense,2,1875,advanced
1867,1905,white,600+0,Nf3 c5 g3 d5 c4 dxc4 Nc3 b6 Bg2 Bb7,10,,A04,Zukertort Opening: Sicilian Invitation,2,1886,advanced
1729,1703,white,300+0,b4 Nf6 Bb2 g6 e3 Bg7 Bc4 O-O d3 d5,10,,A00,Polish Opening: King's Indian Variation,4,1716,advanced
1926,1962,black,600+0,Nf3 d6 d4 Nf6 c4 g6 Nc3 Bg7 Bf4 O-O,10,,A04,Zukertort Opening: Pirc Invitation,2,1944,expert
1570,1605,white,300+0,e4 c5 Bc4 Nc6 Nf3 e6 O-O Nf6 d3 Be7,10,,B20,Sicilian Defense: Bowdler Attack,3,1587,intermediate
1740,1765,black,600+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 Nc6 Be2 Nf6,10,,C41,Philidor Defense: Exchange Variation,7,1752,advanced
2064,2024,white,300+0,e4 e5 Nf3 Nc6 Bc4 Bc5 b4 Bxb4 c3 Be7,10,,C51,"Italian Game: Evans Gambit, Anderssen Variation",10,2044,expert
1716,1739,black,600+0,e4 c6 f4 d5 e5 Bf5 d4 e6 Nf3 c5,10,,B10,Caro-Kann Defense,2,1727,advanced
1776,1658,white,60+0,d4 d5 Bg5 h6 Bh4 f5 Bg3 g5 Nf3 f4,10,,D00,Queen's Pawn Game: Levitsky Attack,3,1717,advanced
1582,1580,black,180+0,e4 e5 Bc4 Nf6 Qf3 Be7 Nc3 d6 h3 Nbd7,10,,C24,Bishop's Opening: Berlin Defense,4,1581,intermediate
1865,1836,white,300+0,e3 e5 b3 d5 Bb2 Nc6 Bb5 Bd6 f4 Qe7,10,,A00,Van't Kruijs Opening,1,1850,advanced
1977,1930,black,180+0,e4 e5 d4 exd4 c3 dxc3 Bc4 Nc6 Nf3 Bc5,10,,C21,Danish Gambit Accepted,6,1953,expert
1479,1614,black,180+0,e4 e5 Nf3 Qe7 d4 c6 dxe5 Nh6 Nc3 Na6,10,,C40,Gunderam Defense,4,1546,intermediate
2116,2166,black,300+0,d4 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3+,10,,E32,Nimzo-Indian Defense: Classical Variation,7,2141,expert
1802,1767,white,300+0,e4 e5 d4 exd4 Nf3 Nc6 Bc4 Nf6 c3 dxc3,10,,C21,Center Game: Kieseritzky Variation,5,1784,advanced
1790,1779,white,180+0,c4 e5 e3 d5 cxd5 c6 dxc6 Nxc6 Bb5 e4,10,,A20,English Opening: King's English Variation,2,1784,advanced
1775,1768,draw,180+0,e4 e5 Nf3 Nc6 Bb5 a6 Bxc6 dxc6 d4 exd4,10,,C68,Ruy Lopez: Exchange Variation,7,1771,advanced
1996,2074,black,180+0,c3 e6 d4 d5 Nf3 Nf6 Bg5 Be7 Nbd2 O-O,10,,A00,Saragossa Opening,1,2035,expert
2116,2100,draw,60+0,Nf3 f5 g3 Nf6 Bg2 g6 O-O Bg7 b3 O-O,10,,A04,Zukertort Opening: Dutch Variation,2,2108,expert
1904,1891,white,180+0,e4 Nf6 e5 Nd5 d4 d6 c4 Nb6 exd6 cxd6,10,,B03,Alekhine Defense: Exchange Variation,9,1897,advanced
1638,1636,black,180+0,d4 d5 e3 Nf6 Nf3 Bf5 g3 e6 Bg2 Bd6,10,,D00,Queen's Pawn Game,4,1637,advanced
1729,1718,black,60+0,e4 d5 Nc3 dxe4 Nxe4 e5 Nf3 Nf6 Nxf6+ Qxf6,10,,B01,Van Geet Opening: Grünfeld Defense,6,1723,advanced
1508,1441,black,60+0,d4 d5 Nf3 c6 e3 Nf6 g3 Nbd7 Bg2 e6,10,,D02,Queen's Pawn Game: Zukertort Variation,3,1474,intermediate
1680,1769,black,180+0,d4 Nf6 c4 g6 Nc3 Bg7 e4 O-O e5 Ne8,10,,E70,King's Indian Defense: Normal Variation,7,1724,advanced
1672,1715,white,60+0,g3 c6 Bg2 d5 f3 Bf5 d3 e5 Be3 Nf6,10,,A00,Hungarian Opening,1,1693,advanced
2175,2196,black,60+0,Nf3 d6 c4 g6 g3 Bg7 Bg2 Nf6 O-O O-O,10,,A04,Zukertort Opening: Pirc Invitation,2,2185,expert
1895,1860,black,60+0,d4 e6 c4 Be7 Nc3 d6 e4 Bd7 f4 Nf6,10,,A40,Horwitz Defense,2,1877,advanced
2045,2049,black,60+0,Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 b6,10,,A05,King's Indian Attack: Symmetrical Defense,4,2047,expert
1982,1983,draw,180+0,d4 e6 c4 f5 a3 Nf6 Nc3 Be7 e3 b6,10,,A40,Horwitz Defense,2,1982,expert
2019,1977,white,60+0,e3 Nf6 d4 e6 c4 d5 Nf3 dxc4 Bxc4 Nbd7,10,,A00,Van't Kruijs Opening,1,1998,expert
1818,1852,black,60+0,e4 d5 Nf3 dxe4 Ng5 Nf6 d3 Bf5 h3 exd3,10,,A06,Zukertort Opening: Tennison Gambit,3,1835,advanced
2108,2084,black,60+0,e4 Nf6 Nf3 Nxe4 d4 Nf6 c4 d5 Nc3 dxc4,10,,B02,Alekhine Defense,2,2096,expert
1621,1561,black,60+0,b3 Nc6 a3 e6 Bb2 Bd6 e3 f5 Nf3 Nf6,10,,A01,Nimzo-Larsen Attack,1,1591,intermediate
1405,1460,black,420+3,e4 e5 Qh5 Qe7 Nf3 d6 c4 Nf6 Qf5 Bxf5,10,,C20,King's Pawn Game: Wayward Queen Attack,3,1432,intermediate
2018,2028,white,60+0,e4 c6 d4 d5 exd5 cxd5 f4 e6 Nf3 Nf6,10,,B13,Caro-Kann Defense: Exchange Variation,6,2023,expert
1702,1765,black,600+0,e4 e5 Nf3 d6 d4 exd4 Qxd4 a6 Bc4 Nc6,10,,C41,Philidor Defense: Exchange Variation,6,1733,advanced
1904,1963,white,60+0,e4 e6 d4 d5 exd5 exd5 Bd3 Nf6 Nf3 g6,10,,C01,French Defense: Exchange Variation,5,1933,expert
1691,1711,black,300+3,d4 Nf6 e3 g6 c4 Bg7 Nf3 d6 h3 O-O,10,,A45,Indian Defense,2,1701,advanced
1400,1208,white,300+0,e4 e5 Qg4 Nf6 Qf3 Nc6 c3 Bc5 b4 Bb6,10,,C20,King's Pawn Game,2,1304,intermediate
1943,1689,white,30+0,g3 f5 Bg2 e5 d4 exd4 Qxd4 Nf6 Qd1 Nc6,10,,A00,Hungarian Opening: Dutch Defense,2,1816,advanced
1850,1825,black,180+0,e4 c5 Qf3 Nc6 c3 g6 Bb5 Bg7 Bxc6 bxc6,10,,B20,Sicilian Defense,2,1837,advanced
