eco_code,opening_name,novice,intermediate,advanced,expert,variance,std_dev,range,n_groups
A00,Saragossa Opening,,0.75,0.2777777777777778,,0.11149691358024691,0.3339115355603141,0.4722222222222222,2
A45,Indian Defense,,0.5714285714285714,0.35135135135135137,,0.024216991398458572,0.15561809470128649,0.22007722007722003,2
C24,Bishop's Opening: Berlin Defense,,0.6027397260273972,0.3953488372093023,,0.021505490382379706,0.14664750383958025,0.20739088881809492,2
B00,Owen Defense,,0.47863247863247865,0.6666666666666666,,0.01767842793483818,0.13296024945388069,0.18803418803418798,2
D20,Queen's Gambit Accepted,,0.5757575757575758,0.75,,0.015180211202938467,0.12320799975220142,0.1742424242424242,2
B01,Scandinavian Defense: Mieses-Kotroc Variation,,0.7631578947368421,0.5961538461538461,,0.013945176121555844,0.1180896952386441,0.167004048582996,2
B06,Modern Defense,,0.42452830188679247,0.576271186440678,,0.011512951506366914,0.10729842266485987,0.15174288455388552,2
C41,Philidor Defense,,0.5604395604395604,0.7111111111111111,,0.011350958090884834,0.106540875211746,0.1506715506715507,2
C23,Bishop's Opening,,0.5897435897435898,0.45,,0.00976413543721236,0.09881363993504318,0.13974358974358975,2
A40,Queen's Pawn Game: Modern Defense,,0.5555555555555556,0.68,,0.007743209876543213,0.08799551054765926,0.12444444444444447,2
B20,Sicilian Defense: Bowdler Attack,,0.3431372549019608,0.2222222222222222,,0.007310222563971124,0.08549983955523614,0.12091503267973858,2
A40,English Defense,,0.4426229508196721,0.5526315789473685,,0.006050949131268892,0.07778784693812327,0.11000862812769635,2
A00,Van't Kruijs Opening,0.4666666666666667,0.4474708171206226,0.33663366336633666,,0.004926989539908203,0.07019251769176116,0.13003300330033002,3
D10,Slav Defense,,0.5666666666666667,0.6458333333333334,,0.0031336805555555597,0.05597928684393505,0.07916666666666672,2
A40,Queen's Pawn Game,,0.75,0.6739130434782609,,0.002894612476370511,0.053801602916367756,0.07608695652173914,2
D00,Queen's Pawn Game,,0.5636363636363636,0.4878048780487805,,0.002875207103209914,0.05362095768642998,0.07583148558758313,2
B10,Caro-Kann Defense,,0.5,0.42857142857142855,,0.0025510204081632673,0.050507627227610555,0.07142857142857145,2
A00,Mieses Opening,,0.425531914893617,0.36666666666666664,,0.0017325587244102427,0.04162401619750601,0.058865248226950384,2
B00,Pirc Defense,,0.5057471264367817,0.4492753623188406,,0.0015945300712961888,0.03993156735336329,0.05647176411794108,2
C00,French Defense: Knight Variation,,0.5287356321839081,0.48717948717948717,,0.0008634565938142279,0.029384631932597487,0.0415561450044209,2
B01,Scandinavian Defense,,0.494949494949495,0.5362318840579711,,0.0008521178252518127,0.02919105728218512,0.04128238910847609,2
A40,Horwitz Defense,,0.5671641791044776,0.5691056910569106,0.5333333333333333,0.00040465952855932747,0.020116150937973386,0.03577235772357723,3
B20,Sicilian Defense,,0.46153846153846156,0.4838709677419355,,0.00024937041666410085,0.015791466577367057,0.022332506203473934,2
