eco_code,opening_name,games,white_wins,draws,black_wins,white_win_rate,draw_rate,black_win_rate
C25,Vienna Game,35,26,0,9,0.7428571428571429,0.0,0.2571428571428571
A41,Old Indian Defense,51,36,3,12,0.7058823529411765,0.058823529411764705,0.23529411764705882
B02,Alekhine Defense,37,26,0,11,0.7027027027027027,0.0,0.2972972972972973
D00,Queen's Pawn Game: Chigorin Variation,89,62,1,26,0.6966292134831461,0.011235955056179775,0.29213483146067415
B01,Scandinavian Defense: Mieses-Kotroc Variation,150,102,3,45,0.68,0.02,0.3
D02,Queen's Pawn Game: Chigorin Variation,31,21,0,10,0.6774193548387096,0.0,0.3225806451612903
C30,King's Gambit,34,23,0,11,0.6764705882352942,0.0,0.3235294117647059
C30,King's Gambit Declined: Queen's Knight Defense,34,23,1,10,0.6764705882352942,0.029411764705882353,0.29411764705882354
D20,Queen's Gambit Accepted,70,47,2,21,0.6714285714285714,0.02857142857142857,0.3
D35,Queen's Gambit Declined: Normal Defense,30,20,0,10,0.6666666666666666,0.0,0.3333333333333333
C42,Petrov's Defense: Three Knights Game,32,21,0,11,0.65625,0.0,0.34375
A40,Queen's Pawn Game,97,63,3,31,0.6494845360824743,0.030927835051546393,0.31958762886597936
A40,Queen's Pawn Game: Modern Defense,91,57,1,33,0.6263736263736264,0.01098901098901099,0.3626373626373626
A01,Nimzo-Larsen Attack,40,25,1,14,0.625,0.025,0.35
C44,Scotch Game,40,25,0,15,0.625,0.0,0.375
A03,Bird Opening: Dutch Variation,42,26,1,15,0.6190476190476191,0.023809523809523808,0.35714285714285715
B23,Sicilian Defense: Closed,39,24,0,15,0.6153846153846154,0.0,0.38461538461538464
C41,Philidor Defense,279,171,7,101,0.6129032258064516,0.025089605734767026,0.36200716845878134
B32,Sicilian Defense: Open,31,19,1,11,0.6129032258064516,0.03225806451612903,0.3548387096774194
A00,Polish Opening,30,18,1,11,0.6,0.03333333333333333,0.36666666666666664
C00,French Defense: Normal Variation,70,42,0,28,0.6,0.0,0.4
A43,Benoni Defense: Old Benoni,74,44,5,25,0.5945945945945946,0.06756756756756757,0.33783783783783783
D10,Slav Defense,95,56,3,36,0.5894736842105263,0.031578947368421054,0.37894736842105264
B00,Nimzowitsch Defense,45,26,1,18,0.5777777777777777,0.022222222222222223,0.4
C40,King's Pawn Game: McConnell Defense,35,20,0,15,0.5714285714285714,0.0,0.42857142857142855
A41,Queen's Pawn Game,72,41,0,31,0.5694444444444444,0.0,0.4305555555555556
A00,Saragossa Opening,94,53,1,40,0.5638297872340425,0.010638297872340425,0.425531914893617
A40,Horwitz Defense,295,166,18,111,0.5627118644067797,0.061016949152542375,0.376271186440678
C00,French Defense: Steinitz Attack,34,19,2,13,0.5588235294117647,0.058823529411764705,0.38235294117647056
C23,Bishop's Opening,160,89,7,64,0.55625,0.04375,0.4
C40,King's Pawn Game: Damiano Defense,38,21,0,17,0.5526315789473685,0.0,0.4473684210526316
A00,Barnes Opening,31,17,1,13,0.5483870967741935,0.03225806451612903,0.41935483870967744
D00,Queen's Pawn Game: Accelerated London System,45,24,0,21,0.5333333333333333,0.0,0.4666666666666667
C24,Bishop's Opening: Berlin Defense,120,64,3,53,0.5333333333333333,0.025,0.44166666666666665
C50,Italian Game: Anti-Fried Liver Defense,68,36,1,31,0.5294117647058824,0.014705882352941176,0.45588235294117646
C20,Center Game,68,36,1,31,0.5294117647058824,0.014705882352941176,0.45588235294117646
C01,French Defense: Exchange Variation,36,19,2,15,0.5277777777777778,0.05555555555555555,0.4166666666666667
B00,Nimzowitsch Defense: Declined Variation,40,21,0,19,0.525,0.0,0.475
C00,French Defense: Knight Variation,196,102,6,88,0.5204081632653061,0.030612244897959183,0.4489795918367347
B00,Owen Defense,173,90,8,75,0.5202312138728323,0.046242774566473986,0.43352601156069365
C02,French Defense: Advance Variation,50,26,2,22,0.52,0.04,0.44
D06,Queen's Gambit Declined: Marshall Defense,56,29,3,24,0.5178571428571429,0.05357142857142857,0.42857142857142855
