eco_code,opening_name,intermediate,advanced,variance,std_dev,range,n_groups
C24,Bishop's Opening: Berlin Defense,0.640625,0.3333333333333333,0.047214084201388895,0.29676840243854347,0.3072916666666667,2
C23,Bishop's Opening,0.6696428571428571,0.5319148936170213,0.009484495968486982,0.34826033704510234,0.13772796352583583,2
B30,Sicilian Defense: Old Sicilian,0.5,0.375,0.0078125,0.2558320397293571,0.125,2
B01,Scandinavian Defense: Mieses-Kotroc Variation,0.5,0.6056338028169014,0.005579250148780001,0.32033207882829495,0.10563380281690138,2
D02,Queen's Pawn Game: Zukertort Variation,0.5909090909090909,0.6888888888888889,0.004800020406081009,0.36993275589854446,0.09797979797979794,2
C00,French Defense: Knight Variation,0.5142857142857142,0.42718446601941745,0.003793313724773534,0.27308398778928966,0.08710124826629678,2
A00,Van't Kruijs Opening,0.5,0.4222222222222222,0.0030246913580246914,0.2673201607306851,0.07777777777777778,2
B00,Owen Defense,0.4444444444444444,0.5076923076923077,0.0020001461027102053,0.2755242916192356,0.06324786324786325,2
D00,Queen's Pawn Game,0.5391705069124424,0.4835164835164835,0.001548685160078969,0.2956426762712627,0.055654023395958874,2
C00,French Defense: Normal Variation,0.6140350877192983,0.6666666666666666,0.0013850415512465344,0.36984451753144937,0.05263157894736836,2
B01,Scandinavian Defense,0.4264705882352941,0.47619047619047616,0.0012360336291379291,0.26104859579464107,0.04971988795518206,2
A40,Horwitz Defense,0.5255102040816326,0.5714285714285714,0.0010542482299042064,0.31688310532763136,0.04591836734693877,2
B10,Caro-Kann Defense,0.42857142857142855,0.3877551020408163,0.0008329862557267801,0.23605609193216726,0.040816326530612235,2
B20,Sicilian Defense: Bowdler Attack,0.34782608695652173,0.3829787234042553,0.0006178539246132639,0.21134060165350563,0.03515263644773359,2
C41,Philidor Defense,0.5577889447236181,0.5842696629213483,0.00035061421813380064,0.3297474225806463,0.026480718197730235,2
B00,Pirc Defense,0.5238095238095238,0.5,0.0002834467120181412,0.29562450294677317,0.023809523809523836,2
B06,Modern Defense,0.5360824742268041,0.5434782608695652,2.7348830032621617e-05,0.31164849026876773,0.007395786642761082,2
