eco_code,opening_name,games,white_wins,beginner_win_rate,master_win_rate,gap,abs_gap
A06,Zukertort Opening: Tennison Gambit,5,1,0.2,0.6666666666666666,0.4666666666666666,0.4666666666666666
D00,Queen's Pawn Game: Chigorin Variation,16,7,0.4375,0.8333333333333334,0.39583333333333337,0.39583333333333337
C45,Scotch Game,9,4,0.4444444444444444,0.8,0.3555555555555556,0.3555555555555556
C40,King's Pawn Game: Busch-Gass Gambit,6,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
B06,Modern Defense,7,5,0.7142857142857143,0.45714285714285713,-0.2571428571428572,0.2571428571428572
B00,Pirc Defense,15,10,0.6666666666666666,0.4375,-0.22916666666666663,0.22916666666666663
A00,Van Geet Opening,5,4,0.8,0.5714285714285714,-0.22857142857142865,0.22857142857142865
A40,Mikenas Defense,10,8,0.8,0.6,-0.20000000000000007,0.20000000000000007
C00,French Defense: Knight Variation,14,6,0.42857142857142855,0.24,-0.18857142857142856,0.18857142857142856
B01,Scandinavian Defense,25,15,0.6,0.475,-0.125,0.125
A00,Hungarian Opening,11,3,0.2727272727272727,0.38461538461538464,0.11188811188811193,0.11188811188811193
C41,Philidor Defense,21,7,0.3333333333333333,0.4444444444444444,0.1111111111111111,0.1111111111111111
C00,French Defense: Normal Variation,5,3,0.6,0.5,-0.09999999999999998,0.09999999999999998
A00,Van't Kruijs Opening,23,8,0.34782608695652173,0.4262295081967213,0.07840342124019956,0.07840342124019956
D00,Queen's Pawn Game: Accelerated London System,7,4,0.5714285714285714,0.5,-0.0714285714285714,0.0714285714285714
