eco_code,opening_name,intermediate,advanced,expert,variance,std_dev,range,n_groups
B00,Owen Defense,0.39473684210526316,0.6923076923076923,,0.04427420544509826,0.21041436606158398,0.2975708502024291,2
B01,Scandinavian Defense,0.603448275862069,0.32653061224489793,0.48717948717948717,0.019334980777109472,0.13905028147080276,0.276917663617171,3
D00,Queen's Pawn Game,0.546875,0.3684210526315789,,0.015922905665685598,0.1261859963137178,0.17845394736842107,2
B00,Pirc Defense,0.5294117647058824,0.39473684210526316,,0.009068667388741385,0.09522955102667126,0.1346749226006192,2
A00,Hungarian Opening,,0.4264705882352941,0.3235294117647059,0.0052984429065743915,0.07279040394567399,0.1029411764705882,2
C23,Bishop's Opening,0.38461538461538464,0.4857142857142857,,0.005110493901702691,0.07148771853754106,0.10109890109890107,2
C00,French Defense: Knight Variation,0.55,0.45454545454545453,,0.0045557851239669475,0.06749655638598867,0.09545454545454551,2
A00,Van't Kruijs Opening,0.3188405797101449,0.44329896907216493,0.41379310344827586,0.00422941142550725,0.06503392518914455,0.12445838936202003,3
A43,Benoni Defense: Old Benoni,,0.4,0.4878048780487805,0.003854848304580604,0.06208742468955049,0.08780487804878045,2
A40,Queen's Pawn Game: Modern Defense,,0.5945945945945946,0.5161290322580645,0.0030784222363939477,0.055483531217776216,0.07846556233653013,2
A40,Horwitz Defense,0.5733333333333334,0.4766355140186916,0.4807692307692308,0.0029892781596464165,0.05467429157882538,0.09669781931464178,3
B20,Sicilian Defense: Bowdler Attack,0.4782608695652174,0.41509433962264153,,0.0019950052524931676,0.044665481666418504,0.06316652994257588,2
B01,Scandinavian Defense: Mieses-Kotroc Variation,0.627906976744186,0.5862068965517241,,0.0008694483440288793,0.029486409480112687,0.041700080192461964,2
C41,Philidor Defense,0.5,0.4588235294117647,,0.000847750865051904,0.029116161578269618,0.041176470588235314,2
B06,Modern Defense,0.4418604651162791,0.47058823529411764,,0.00041264238969535537,0.02031360110111832,0.028727770177838563,2
B10,Caro-Kann Defense,0.45161290322580644,0.4696969696969697,,0.00016351673006672604,0.012787366033187838,0.018084066471163285,2
